	Old	New
tlds.o	19690120	19690120
item_foc_generator.o	13222093	13212937
dao_impl_unity_build.o	12977680	12945872
utils_unity_build.o	12019424	12020968
contact_service.o	10974204	11870084
glip-odb.o	9351620	9359748
message_service.o	9315301	9337638
search_foc_generator.o	8651910	8653566
service_impl_unity_build.o	6994784	6893284
item_service.o	6832806	6817338
parser_unity_build.o	6591005	6642169
uicontroller_search_unity_build.o	5165584	5169528
network_request_sync_service.o	5163026	5166922
search_contact_foc_generator.o	5098373	7544465
post_foc_generator.o	4904115	4905287
account_client_info_service.o	4897008	5182356
incoming_data_handler.o	4760075	4760247
person_foc_generator.o	4551467	4552343
group_foc_generator.o	4358897	4388945
account_service.o	4313020	5422511
ringcentral_rest_api.o	3539331	3543919
sign_in_handler.o	3100172	3133912
telephony_service.o	2791113	2791169
contact_foc_generator.o	2765677	2766681
uicontroller_postItem_unity_build.o	2718053	2718053
rc_message_foc_generator.o	2587338	2588318
rc_call_foc_generator.o	2575435	2576431
uicontroller_factory_unity_build.o	2317982	2494482
network_sockio_api_client.o	2310327	2296751
uicontroller_chat_unity_build.o	2203533	2421779
send_message_service.o	2150966	2588934
app_unity_build.o	2071709	2051625
my_profile_service.o	1948084	1953164
model_unity_build.o	1796666	1805938
post_activity_utility.o	1792624	1792624
uicontroller_contact_unity_build.o	1725756	1725756
glip_rest_api.o	1659788	1979236
search_data_provider.o	1523998	1525742
account_setup_handler.o	1490070	1490070
network_api_request_executor.o	1414873	1415749
handle_scheme_service.o	1406948	1404092
sign_up_handler.o	1218112	1239440
network_api_request_handler_plugin.o	1162482	1165497
storage_unity_build.o	1113527	1118403
online_data_handler.o	1071288	1071288
uicontroller_account_unity_build.o	963893	963893
account_caller_id_handler.o	949054	949054
voicemail_download_handler.o	908164	908540
account_dialing_plan_handler.o	900789	900789
sip_provision_handler.o	874381	1132237
dao_foc_unity_build.o	801061	801061
subscription_hander.o	779857	777765
rc_message_dao.o	754128	754128
job_scheduler.o	751896	752208
rc_message_record_dao.o	746227	746227
default_selling_country_list.o	738296	738296
rc_call_record_dao.o	692935	692935
voice_mail_service.o	665786	666306
rc_record_attachment_dao.o	662713	662713
download_manager.o	661741	661741
phone_number_inline_formatter.o	659281	659281
upload_manager.o	655649	737048
rc_call_dao.o	641623	641623
libsqlite3.o(sqlite3.o)	627357	627357
env_util.o	623728	623728
role_permissions_handler.o	605084	605084
forwarding_numbers_handler.o	600132	600132
VoIP_call_ui_controller.o	597278	541406
network_api_request_decorator.o	576177	577145
data_collection_rest_api.o	573078	573078
recent_search_data_provider.o	570488	636012
network_api_request_manager.o	567514	567542
profile_ui_controller.o	561216	576664
dao_factory_unity_build.o	534035	534035
preview_format.o	529762	529762
phone_number_ability_service.o	517785	517785
oauth_token_refresh_manager.o	515088	515088
network_api_request_survival_mode.o	492961	492961
seganalytics_collector.o	489345	472153
scheduler_manager.o	482532	482516
upgrade_service.o	475823	472519
oauth_token_handler.o	474829	475401
parse_rc.o	467678	467678
add_members_ui_controller.o	424383	424383
dispatch_utils.o	403648	403648
data_collection.o	401414	401414
network_api_request_consumer.o	389914	389914
RCRTC(call_impl.o)	382669	385399
service_interface_unity_build.o	375318	377290
async.o	370799	370799
network_log_manager.o	369037	364509
network_api_request_util.o	347039	347299
uri.o	342590	342590
contact_data_provider.o	329730	329730
sign_out_handler.o	322974	322974
post_preview_utility.o	315149	315149
response_parser.o	313954	313954
sending_state_service.o	303535	303535
